"806799","SP-afdeling Aa en Hunze","806800","SP-regio Drenthe"
"806802","SP Alblasserwaard","806803","SP-regio Rijnmond Oost"
"806805","SP Alkmaar","806806","SP-regio Noord-Holland Noord"
"806808","SP Almelo","806809","SP-regio Overijssel"
"806811","SP Almere","806812","SP-regio Flevoland"
"806814","SP Alphen aan den Rijn","806815","SP-regio Zuid-Holland Noord"
"806816","SP Amersfoort","806817","SP-regio Utrecht"
"806819","SP Amstelland","806820","SP-regio Noord-Holland Midden"
"806821","SP Amstelveen","806822","SP-regio Noord-Holland Zuid"
"806823","SP Amsterdam","806822","SP-regio Noord-Holland Zuid"
"806824","SP Apeldoorn","806825","SP-regio Gelderland Noord-en-Oost"
"806827","SP Appingedam","806828","SP-regio Groningen"
"806830","SP Arnhem","806831","SP-regio Gelderland Zuid"
"806832","SP Assen","806800","SP-regio Drenthe"
"806833","SP Baarn","806817","SP-regio Utrecht"
"806835","SP Bellingwedde","806828","SP-regio Groningen"
"806836","SP Bergen op Zoom","806837","SP-regio Noord-Brabant West"
"806839","SP Berkelland","806825","SP-regio Gelderland Noord-en-Oost"
"806840","SP Bernheze","806841","SP-regio Noord-Brabant NoordOost"
"806842","SP Beuningen","806831","SP-regio Gelderland Zuid"
"806843","SP Beverwijk","806822","SP-regio Noord-Holland Zuid"
"806844","SP Bodegraven","806815","SP-regio Zuid-Holland Noord"
"806845","SP Borne","806809","SP-regio Overijssel"
"806846","SP Boxmeer","806841","SP-regio Noord-Brabant NoordOost"
"806847","SP Boxtel","806848","SP-regio Noord-Brabant Zuidoost"
"806847","SP Boxtel","806841","SP-regio Noord-Brabant NoordOost"
"806849","SP Breda","806837","SP-regio Noord-Brabant West"
"806850","SP Brielle","806851","SP-regio Rijnmond West"
"806852","SP Brunssum","806853","SP-regio Limburg Zuid"
"806855","SP Bunnik","806817","SP-regio Utrecht"
"806856","SP-afdeling Capelle aan de IJssel","806803","SP-regio Rijnmond Oost"
"806857","SP Capelle aan den IJssel","806803","SP-regio Rijnmond Oost"
"806858","SP Castricum","806806","SP-regio Noord-Holland Noord"
"806859","SP Coevorden","806800","SP-regio Drenthe"
"806860","SP-afdeling Cuijck","806841","SP-regio Noord-Brabant NoordOost"
"806861","SP Cuijk","806841","SP-regio Noord-Brabant NoordOost"
